sequence,From,To,address_id,total_transactions,transactions_initiated,transactions_received,average_transaction_value,total_transaction_value,average_outgoing_value,average_incoming_value,total_outgoing_value,total_incoming_value,last_outgoing_transaction_value,last_incoming_transaction_value,value1,value2,value3,value4,timestamps1,timestamps2,timestamps3,timestamps4,label
0,1,2297,1,1,0,1,0.00378813,0.00378813,0.0,0.00378813,0.0,0.00378813,0.0,0.00378813,-0.00378813,0.0,0.0,0.0,0,0,0,0,0
1,2,852,2,1,1,0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0,0,0,0,0
2,3,71,3,6,1,5,0.19987211,1.19923266,0.59923266,0.12,0.59923266,0.6,0.59923266,0.2,-0.1,0.0,0.0,0.0,0,0,0,0,1
3,4,1014,3,6,1,5,0.19987211,1.19923266,0.59923266,0.12,0.59923266,0.6,0.59923266,0.2,-0.1,0.0,0.0,0.0,0,0,0,0,1
4,5,1355,3,6,1,5,0.19987211,1.19923266,0.59923266,0.12,0.59923266,0.6,0.59923266,0.2,0.59923266,0.0,0.0,0.0,0,0,0,0,1
5,6,2009,3,6,1,5,0.19987211,1.19923266,0.59923266,0.12,0.59923266,0.6,0.59923266,0.2,-0.2,0.0,0.0,0.0,0,0,0,0,1
6,7,2323,3,6,1,5,0.19987211,1.19923266,0.59923266,0.12,0.59923266,0.6,0.59923266,0.2,-0.1,0.0,0.0,0.0,0,0,0,0,1
7,8,3454,3,6,1,5,0.19987211,1.19923266,0.59923266,0.12,0.59923266,0.6,0.59923266,0.2,-0.1,0.0,0.0,0.0,0,0,0,0,1
8,9,2345,4,1,0,1,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,-0.01,0.0,0.0,0.0,0,0,0,0,0
9,10,636,5,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
10,11,966,6,2,2,0,0.15,0.3,0.15,0.0,0.3,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0,5,0,0,0
11,12,852,7,1,1,0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0,0,0,0,0
12,13,1584,8,1,1,0,0.01535732,0.01535732,0.01535732,0.0,0.01535732,0.0,0.01535732,0.0,0.01535732,0.0,0.0,0.0,0,0,0,0,0
13,14,3340,9,1,1,0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0,0,0,0,0
14,15,3024,10,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
15,16,79,11,1,1,0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0,0,0,0,0
16,17,1005,12,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
17,18,2379,13,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,101,101,107,0
18,19,2379,13,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,107,107,115,0
19,20,2379,13,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,115,115,115,0
20,21,2379,13,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,115,0,0,0
21,22,3144,14,1,1,0,0.009848848,0.009848848,0.009848848,0.0,0.009848848,0.0,0.009848848,0.0,0.009848848,0.0,0.0,0.0,0,0,0,0,0
22,23,3024,15,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
23,24,456,16,1,1,0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0
24,25,1844,17,3,3,0,0.16,0.48,0.16,0.0,0.48,0.0,0.16,0.0,0.16,0.16,0.16,0.0,0,21,22,0,0
25,26,2345,18,1,1,0,0.005420734,0.005420734,0.005420734,0.0,0.005420734,0.0,0.005420734,0.0,0.005420734,0.0,0.0,0.0,0,0,0,0,0
26,27,2693,19,1,1,0,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0,0,0,0,0
27,28,2126,20,2,2,0,0.061685796,0.123371592,0.061685796,0.0,0.123371592,0.0,0.043371592,0.0,0.08,0.043371592,0.0,0.0,0,0,0,0,0
28,29,2297,21,1,1,0,0.068582177,0.068582177,0.068582177,0.0,0.068582177,0.0,0.068582177,0.0,0.068582177,0.0,0.0,0.0,0,0,0,0,0
29,30,3484,22,1,1,0,0.055,0.055,0.055,0.0,0.055,0.0,0.055,0.0,0.055,0.0,0.0,0.0,0,0,0,0,0
30,31,122,23,1,0,1,0.00692048,0.00692048,0.0,0.00692048,0.0,0.00692048,0.0,0.00692048,-0.00692048,0.0,0.0,0.0,0,0,0,0,0
31,32,2591,24,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
32,33,3582,25,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
33,34,2126,26,1,1,0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0,0,0,0,0
34,35,1432,27,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,18,44,0
35,36,1432,27,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0,0,0
36,37,1305,28,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
37,38,3024,29,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
38,39,1844,30,1,1,0,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0,0,0,0,0
39,40,539,31,1,0,1,0.03435442,0.03435442,0.0,0.03435442,0.0,0.03435442,0.0,0.03435442,-0.03435442,0.0,0.0,0.0,0,0,0,0,0
40,41,2345,32,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
41,42,1844,33,1,1,0,0.075,0.075,0.075,0.0,0.075,0.0,0.075,0.0,0.075,0.0,0.0,0.0,0,0,0,0,0
